IP:Port,Loss,Latency
162.159.195.1:945,0%,19.42
162.159.195.70:864,0%,19.50
162.159.195.231:3138,0%,19.91
162.159.195.176:968,0%,20.22
162.159.195.34:894,0%,20.38
162.159.195.250:3476,0%,20.45
162.159.195.100:8886,0%,20.83
162.159.195.145:4500,0%,20.88
162.159.195.57:859,0%,20.97
162.159.195.106:7281,0%,21.12
162.159.195.246:946,0%,21.28
162.159.195.224:968,0%,21.50
162.159.195.157:934,0%,21.58
162.159.195.104:859,0%,21.59
162.159.195.1:3138,0%,21.63
162.159.195.161:7156,0%,21.65
162.159.195.246:3581,0%,21.67
162.159.195.149:2371,0%,21.75
162.159.195.78:8886,0%,21.77
162.159.195.230:4500,0%,21.87
162.159.195.208:7281,0%,21.95
162.159.195.48:943,0%,22.04
162.159.195.4:4198,0%,22.20
162.159.195.145:934,0%,22.41
162.159.195.114:908,0%,22.50
162.159.195.184:928,0%,22.75
162.159.195.145:890,0%,22.78
162.159.195.124:946,0%,22.87
162.159.195.251:1010,0%,23.06
162.159.195.217:4233,0%,23.07
162.159.195.36:1070,0%,23.12
162.159.195.139:859,0%,23.17
162.159.195.101:2506,0%,23.24
162.159.195.164:968,0%,23.33
162.159.195.130:945,0%,23.36
162.159.195.3:946,0%,23.48
162.159.195.66:942,0%,23.50
162.159.195.28:7152,0%,23.54
162.159.195.32:8319,0%,23.57
162.159.195.201:1701,0%,23.61
162.159.195.173:928,0%,23.70
162.159.195.35:988,0%,23.72
162.159.195.162:8854,0%,23.78
162.159.195.40:878,0%,24.01
162.159.195.246:8319,0%,24.06
162.159.195.221:1070,0%,24.17
162.159.195.237:928,0%,24.35
162.159.195.91:2371,0%,24.40
162.159.195.119:859,0%,24.48
162.159.195.127:3854,0%,24.57
162.159.195.90:1010,0%,24.65
162.159.195.39:4500,0%,24.65
162.159.195.124:2506,0%,24.72
162.159.195.27:8854,0%,24.79
162.159.195.202:2371,0%,25.03
162.159.195.52:943,0%,25.10
162.159.195.226:3138,0%,25.12
162.159.195.80:2408,0%,25.43
162.159.195.113:4233,0%,25.70
162.159.195.232:8319,0%,25.76
162.159.195.154:1070,0%,25.98
162.159.195.29:4500,0%,26.15
162.159.195.155:1387,0%,26.24
162.159.195.216:1010,0%,26.35
162.159.195.35:2506,0%,26.99
162.159.195.97:8319,0%,27.95
162.159.195.67:4233,0%,28.27
162.159.195.6:2408,0%,28.79
188.114.96.108:1843,0%,160.64
188.114.98.134:946,0%,160.77
188.114.96.195:5956,0%,160.79
188.114.99.113:2408,0%,160.88
188.114.97.234:7559,0%,160.92
188.114.96.173:2506,0%,160.93
188.114.96.190:1387,0%,160.94
188.114.97.178:968,0%,160.96
188.114.97.21:3581,0%,160.97
188.114.97.11:7152,0%,161.00
188.114.98.190:859,0%,161.01
188.114.97.199:4177,0%,161.05
188.114.97.214:891,0%,161.06
188.114.99.74:5956,0%,161.11
188.114.96.52:4500,0%,161.14
188.114.96.216:2371,0%,161.17
188.114.99.42:3476,0%,161.23
188.114.96.227:500,0%,161.26
188.114.98.66:942,0%,161.30
188.114.97.93:8319,0%,161.31
188.114.97.227:1180,0%,161.33
188.114.97.110:987,0%,161.33
188.114.96.232:880,0%,161.34
188.114.99.114:939,0%,161.36
188.114.96.170:2371,0%,161.37
188.114.97.162:1002,0%,161.39
162.159.195.232:945,0%,161.42
188.114.97.88:8742,0%,161.43
188.114.97.185:891,0%,161.47
188.114.98.186:854,0%,161.49
188.114.99.205:3854,0%,161.50
188.114.98.242:864,0%,161.52
188.114.97.19:1387,0%,161.55
188.114.98.66:859,0%,161.55
188.114.96.152:8319,0%,161.63
188.114.99.64:928,0%,161.63
188.114.99.44:903,0%,161.71
188.114.96.16:908,0%,161.74
188.114.97.220:968,0%,161.76
188.114.96.122:1180,0%,161.78
188.114.97.125:4177,0%,161.96
188.114.97.114:1701,0%,161.98
188.114.99.23:894,0%,162.31
188.114.97.241:1014,0%,162.37
188.114.98.237:1070,0%,162.43
188.114.96.136:4500,0%,162.43
188.114.99.156:859,0%,162.46
188.114.96.105:968,0%,162.48
188.114.98.157:908,0%,162.49
188.114.99.170:1843,0%,162.49
188.114.97.31:4500,0%,162.49
188.114.96.47:7156,0%,162.49
188.114.98.83:880,0%,162.56
188.114.99.238:500,0%,162.59
188.114.97.5:7281,0%,162.62
188.114.98.18:1701,0%,162.64
162.159.195.146:3138,0%,162.67
188.114.97.255:939,0%,162.67
188.114.96.27:1070,0%,162.69
188.114.96.172:7281,0%,162.70
188.114.98.61:1010,0%,162.73
188.114.99.192:2506,0%,162.74
188.114.97.147:1074,0%,162.74
188.114.96.33:942,0%,162.75
188.114.96.55:2371,0%,162.77
188.114.97.139:7156,0%,162.78
188.114.97.240:5956,0%,162.79
188.114.99.83:7156,0%,162.81
188.114.97.123:3581,0%,162.81
188.114.98.28:3854,0%,162.84
188.114.97.86:1180,0%,162.84
188.114.97.45:5956,0%,162.85
162.159.195.116:7559,0%,162.88
188.114.96.69:3476,0%,162.88
188.114.97.149:2506,0%,162.91
188.114.99.206:864,0%,162.91
188.114.96.64:7559,0%,162.94
162.159.195.192:500,0%,162.94
188.114.99.133:1014,0%,162.94
188.114.96.193:1002,0%,162.95
188.114.99.102:1843,0%,162.96
188.114.98.216:854,0%,162.97
188.114.96.47:945,0%,162.97
162.159.195.9:5279,0%,162.98
188.114.96.65:8854,0%,163.01
188.114.98.113:8319,0%,163.01
188.114.96.160:968,0%,163.01
188.114.96.60:2371,0%,163.04
188.114.98.247:2408,0%,163.04
188.114.96.244:1180,0%,163.04
188.114.99.198:1014,0%,163.07
162.159.195.108:859,0%,163.07
188.114.99.65:942,0%,163.08
188.114.96.76:864,0%,163.10
188.114.96.239:1018,0%,163.10
188.114.99.229:934,0%,163.13
188.114.97.96:1018,0%,163.13
188.114.96.52:1070,0%,163.15
188.114.96.103:1010,0%,163.17
188.114.96.127:968,0%,163.19
188.114.97.186:945,0%,163.19
188.114.96.200:7559,0%,163.21
188.114.99.232:8854,0%,163.22
188.114.96.97:8319,0%,163.23
188.114.96.62:946,0%,163.24
162.159.195.58:1180,0%,163.24
188.114.97.223:946,0%,163.25
188.114.96.39:854,0%,163.25
188.114.97.171:880,0%,163.28
162.159.195.83:903,0%,163.28
188.114.96.100:7156,0%,163.28
188.114.99.225:939,0%,163.29
188.114.99.1:894,0%,163.31
188.114.99.194:988,0%,163.31
188.114.98.186:7559,0%,163.32
188.114.99.85:8319,0%,163.34
188.114.99.247:7152,0%,163.34
188.114.98.112:908,0%,163.34
162.159.195.102:1018,0%,163.35
188.114.98.193:3854,0%,163.36
188.114.98.80:7559,0%,163.37
188.114.97.184:2371,0%,163.37
188.114.96.153:878,0%,163.38
188.114.97.60:864,0%,163.39
188.114.97.208:8319,0%,163.40
188.114.96.224:891,0%,163.40
188.114.99.161:8854,0%,163.40
188.114.96.100:1843,0%,163.40
188.114.97.144:891,0%,163.41
188.114.96.154:864,0%,163.41
188.114.97.146:946,0%,163.42
188.114.98.212:864,0%,163.43
188.114.96.210:4177,0%,163.43
188.114.97.32:878,0%,163.43
188.114.97.71:878,0%,163.44
188.114.97.243:1070,0%,163.44
188.114.97.161:1014,0%,163.44
188.114.97.50:5279,0%,163.45
188.114.96.157:943,0%,163.47
162.159.195.62:878,0%,163.49
188.114.96.115:890,0%,163.51
188.114.99.184:3138,0%,163.52
188.114.96.208:880,0%,163.53
188.114.97.179:939,0%,163.53
188.114.99.169:1014,0%,163.55
188.114.97.46:908,0%,163.56
188.114.96.115:8854,0%,163.58
188.114.96.254:943,0%,163.58
188.114.99.229:988,0%,163.60
188.114.97.65:894,0%,163.61
188.114.96.76:500,0%,163.62
188.114.99.165:3476,0%,163.64
162.159.195.93:8886,0%,163.64
188.114.96.47:2506,0%,163.65
188.114.96.170:3581,0%,163.66
188.114.96.183:2371,0%,163.66
188.114.98.144:894,0%,163.68
188.114.99.250:934,0%,163.69
188.114.97.104:3476,0%,163.71
188.114.99.120:955,0%,163.72
188.114.99.176:2408,0%,163.72
162.159.195.43:854,0%,163.73
188.114.96.182:894,0%,163.75
188.114.97.222:955,0%,163.76
188.114.99.8:854,0%,163.76
188.114.98.90:946,0%,163.78
188.114.96.244:988,0%,163.80
188.114.96.19:854,0%,163.80
162.159.195.187:1701,0%,163.81
188.114.97.114:7559,0%,163.85
188.114.97.121:1018,0%,163.86
188.114.98.132:890,0%,163.88
188.114.99.80:854,0%,163.89
188.114.96.133:7559,0%,163.90
188.114.96.26:7103,0%,163.92
188.114.97.236:903,0%,163.94
188.114.97.164:864,0%,163.96
162.159.195.202:908,0%,163.96
188.114.97.133:1070,0%,163.97
188.114.98.189:1180,0%,163.98
188.114.97.5:1180,0%,163.99
188.114.96.207:4198,0%,164.02
188.114.98.202:891,0%,164.06
188.114.96.91:945,0%,164.06
188.114.99.229:8319,0%,164.07
188.114.97.78:891,0%,164.09
188.114.96.126:864,0%,164.10
188.114.97.51:942,0%,164.11
188.114.96.219:7103,0%,164.11
188.114.97.122:1843,0%,164.12
188.114.99.52:903,0%,164.14
188.114.96.250:934,0%,164.18
188.114.99.134:3138,0%,164.20
188.114.97.106:8854,0%,164.22
188.114.99.127:946,0%,164.22
188.114.96.196:5279,0%,164.23
188.114.98.207:4500,0%,164.24
188.114.97.220:955,0%,164.25
188.114.96.255:4233,0%,164.25
188.114.96.220:7156,0%,164.25
188.114.97.66:928,0%,164.27
188.114.99.254:8319,0%,164.27
188.114.99.83:1010,0%,164.34
188.114.96.109:943,0%,164.37
188.114.96.176:880,0%,164.37
188.114.96.239:7156,0%,164.38
188.114.99.144:2371,0%,164.40
188.114.96.253:943,0%,164.40
188.114.97.225:4500,0%,164.44
162.159.195.186:928,0%,164.46
188.114.97.46:854,0%,164.49
188.114.97.84:5279,0%,164.50
188.114.97.154:945,0%,164.52
188.114.99.204:1074,0%,164.52
188.114.96.184:1701,0%,164.59
188.114.97.234:988,0%,164.59
188.114.97.94:3854,0%,164.61
188.114.98.58:946,0%,164.64
188.114.97.17:890,0%,164.64
188.114.97.119:7559,0%,164.66
188.114.99.85:7152,0%,164.69
188.114.98.219:2371,0%,164.71
188.114.96.220:1002,0%,164.71
188.114.96.106:5956,0%,164.73
188.114.98.4:500,0%,164.74
188.114.97.149:5956,0%,164.80
188.114.99.206:2506,0%,164.81
188.114.96.11:4198,0%,164.83
188.114.96.183:3138,0%,164.84
188.114.97.101:1018,0%,164.97
188.114.96.138:1843,0%,164.97
188.114.96.106:7156,0%,164.97
162.159.195.85:2371,0%,164.98
188.114.98.175:4233,0%,164.99
188.114.98.157:7103,0%,165.00
188.114.96.91:500,0%,165.02
188.114.96.217:500,0%,165.03
188.114.97.72:988,0%,165.04
188.114.96.124:3581,0%,165.06
188.114.96.243:500,0%,165.06
188.114.96.227:987,0%,165.07
188.114.96.213:878,0%,165.07
188.114.96.101:3138,0%,165.07
188.114.96.13:500,0%,165.09
188.114.97.97:3476,0%,165.09
188.114.97.142:7152,0%,165.12
188.114.96.3:5956,0%,165.12
188.114.97.146:1002,0%,165.14
188.114.97.81:3581,0%,165.16
188.114.97.94:891,0%,165.17
188.114.96.81:4500,0%,165.18
188.114.98.88:3138,0%,165.18
188.114.99.195:943,0%,165.18
188.114.98.192:4177,0%,165.20
188.114.97.17:880,0%,165.20
188.114.96.27:955,0%,165.20
188.114.97.164:7281,0%,165.20
188.114.97.93:3854,0%,165.23
188.114.99.92:1002,0%,165.28
188.114.97.153:7559,0%,165.30
188.114.97.15:1843,0%,165.31
188.114.99.85:4233,0%,165.31
188.114.97.81:854,0%,165.32
188.114.97.54:1014,0%,165.34
188.114.97.202:7281,0%,165.34
162.159.195.168:864,0%,165.35
188.114.99.204:3854,0%,165.37
